knummer_fra;kommunenavn_fra;kommunenr_2020;kommune_2020
0616;Nes (Buskerud) (-2019);3040;Nesbyen
0514;Lom (-2019);3434;Lom
0617;Gol (-2019);3041;Gol
0515;Vågå (-2019);3435;Vågå
1134;Suldal;1134;Suldal
0516;Nord-Fron (1977-2019);3436;Nord-Fron
0618;Hemsedal (-2019);3042;Hemsedal
0517;Sel (1908-2019);3437;Sel
1135;Sauda;1135;Sauda
0519;Sør-Fron (-2019);3438;Sør-Fron
0619;Ål (-2019);3043;Ål
0520;Ringebu (-2019);3439;Ringebu
0620;Hol (-2019);3044;Hol
0521;Øyer (-2019);3440;Øyer
1144;Kvitsøy;1144;Kvitsøy
0522;Gausdal (1962-2019);3441;Gausdal
0621;Sigdal (-2019);3045;Sigdal
0528;Østre Toten (-2019);3442;Østre Toten
0622;Krødsherad (-2019);3046;Krødsherad
0529;Vestre Toten (-2019);3443;Vestre Toten
0623;Modum (-2019);3047;Modum
0532;Jevnaker (-2019);3053;Jevnaker
1145;Bokn;1145;Bokn
0624;Øvre Eiker (-2019);3048;Øvre Eiker
0533;Lunner (-2019);3054;Lunner
0626;Lier (-2019);3049;Lier
0534;Gran (-2019);3446;Gran
0536;Søndre Land (-2019);3447;Søndre Land
0631;Flesberg (-2019);3050;Flesberg
1146;Tysvær;1146;Tysvær
0632;Rollag (-2019);3051;Rollag
0538;Nordre Land (-2019);3448;Nordre Land
0633;Nore og Uvdal (1962-2019);3052;Nore og Uvdal
0540;Sør-Aurdal (-2019);3449;Sør-Aurdal
0541;Etnedal (-2019);3450;Etnedal
3401;Kongsvinger;3401;Kongsvinger
1149;Karmøy;1149;Karmøy
3403;Hamar;3403;Hamar
0542;Nord-Aurdal (-2019);3451;Nord-Aurdal
3405;Lillehammer;3405;Lillehammer
3407;Gjøvik;3407;Gjøvik
0543;Vestre Slidre (-2019);3452;Vestre Slidre
3411;Ringsaker;3411;Ringsaker
0544;Øystre Slidre (-2019);3453;Øystre Slidre
3412;Løten;3412;Løten
1151;Utsira;1151;Utsira
3413;Stange;3413;Stange
0545;Vang (-2019);3454;Vang
3414;Nord-Odal;3414;Nord-Odal
1160;Vindafjord;1160;Vindafjord
3415;Sør-Odal;3415;Sør-Odal
1505;Kristiansund;1505;Kristiansund
3416;Eidskog;3416;Eidskog
1502;Molde (-2019);1506;Molde
3417;Grue;3417;Grue
1543;Nesset (-2019);1506;Molde
3418;Åsnes;3418;Åsnes
1545;Midsund (1965-2019);1506;Molde
3419;Våler (Innlandet);3419;Våler (Innlandet)
1504;Ålesund (1977-2019);1507;Ålesund
3420;Elverum;3420;Elverum
1523;Ørskog (1977-2019);1507;Ålesund
3421;Trysil;3421;Trysil
