statistikkvariabel,År,Kvartal,Måned,Dag,"11842: Fylkesveier. Tunneler, bruer og veisikring,"
Tunneler på fylkesvei med høgdebegrensning under 4 meter (antall),2018,Kv 1,januar,1,0
Tunneler på fylkesvei med høgdebegrensning under 4 meter (antall),2019,Kv 1,januar,1,0
Tunneler på fylkesvei med høgdebegrensning under 4 meter (antall),2020,Kv 1,januar,1,0
Tunneler på fylkesvei med lengde over 500 meter (antall),2015,Kv 1,januar,1,4
Tunneler på fylkesvei med lengde over 500 meter (antall),2016,Kv 1,januar,1,4
Tunneler på fylkesvei med lengde over 500 meter (antall),2017,Kv 1,januar,1,4
Tunneler på fylkesvei med lengde over 500 meter (antall),2018,Kv 1,januar,1,4
Tunneler på fylkesvei med lengde over 500 meter (antall),2019,Kv 1,januar,1,4
Tunneler på fylkesvei med lengde over 500 meter (antall),2020,Kv 1,januar,1,5
Underganger på fylkesvei med høgdebegrensning under 4 meter (antall),2015,Kv 1,januar,1,36
Underganger på fylkesvei med høgdebegrensning under 4 meter (antall),2016,Kv 1,januar,1,33
Underganger på fylkesvei med høgdebegrensning under 4 meter (antall),2017,Kv 1,januar,1,34
Underganger på fylkesvei med høgdebegrensning under 4 meter (antall),2018,Kv 1,januar,1,34
Underganger på fylkesvei med høgdebegrensning under 4 meter (antall),2019,Kv 1,januar,1,36
Underganger på fylkesvei med høgdebegrensning under 4 meter (antall),2020,Kv 1,januar,1,42
